label_set,N,model,topk,context_idx,span_m,load_kNm,gt_economy,mode,feasible,gap,n_dec,n_repair,n_total
0,50,knn,3,21,6.818181818181818,118.18181818181816,852.2289524013323,scale,1,0.002040273400270687,8,18,26
0,50,knn,3,21,6.818181818181818,118.18181818181816,852.2289524013323,scale+thin,1,0.002040273400270687,8,55,63
0,50,knn,1,22,6.818181818181818,129.0909090909091,896.311601431932,none,1,-0.0035249929162145532,3,0,3
0,50,knn,1,22,6.818181818181818,129.0909090909091,896.311601431932,scale,1,-0.005599394964212356,3,18,21
0,50,knn,1,22,6.818181818181818,129.0909090909091,896.311601431932,scale+thin,1,-0.005599394964212356,3,55,58
0,50,knn,2,22,6.818181818181818,129.0909090909091,896.311601431932,none,1,-0.0035249929162145532,6,0,6
0,50,knn,2,22,6.818181818181818,129.0909090909091,896.311601431932,scale,1,-0.005599394964212356,6,18,24
0,50,knn,2,22,6.818181818181818,129.0909090909091,896.311601431932,scale+thin,1,-0.005599394964212356,6,55,61
0,50,knn,3,22,6.818181818181818,129.0909090909091,896.311601431932,none,1,-0.0035249929162145532,11,0,11
0,50,knn,3,22,6.818181818181818,129.0909090909091,896.311601431932,scale,1,-0.005599394964212356,11,18,29
0,50,knn,3,22,6.818181818181818,129.0909090909091,896.311601431932,scale+thin,1,-0.005599394964212356,11,55,66
0,50,knn,1,24,7.636363636363637,20.0,409.6201332461394,none,1,-0.003755006007311712,5,0,5
0,50,knn,1,24,7.636363636363637,20.0,409.6201332461394,scale,1,-0.004879458533224801,5,18,23
0,50,knn,1,24,7.636363636363637,20.0,409.6201332461394,scale+thin,1,-0.005500616424755189,5,54,59
0,50,knn,2,24,7.636363636363637,20.0,409.6201332461394,none,1,-0.003755006007311712,11,0,11
0,50,knn,2,24,7.636363636363637,20.0,409.6201332461394,scale,1,-0.004879458533224801,11,18,29
0,50,knn,2,24,7.636363636363637,20.0,409.6201332461394,scale+thin,1,-0.005500616424755189,11,54,65
0,50,knn,3,24,7.636363636363637,20.0,409.6201332461394,none,1,-0.003755006007311712,14,0,14
0,50,knn,3,24,7.636363636363637,20.0,409.6201332461394,scale,1,-0.004879458533224801,14,18,32
0,50,knn,3,24,7.636363636363637,20.0,409.6201332461394,scale+thin,1,-0.005500616424755189,14,54,68
0,50,knn,1,23,6.818181818181818,140.0,931.1411275891702,none,1,0.004103557050087359,3,0,3
0,50,knn,1,23,6.818181818181818,140.0,931.1411275891702,scale,1,0.002357676522424912,3,18,21
0,50,knn,1,23,6.818181818181818,140.0,931.1411275891702,scale+thin,1,0.002357676522424912,3,55,58
0,50,knn,2,23,6.818181818181818,140.0,931.1411275891702,none,1,0.004103557050087359,6,0,6
0,50,knn,2,23,6.818181818181818,140.0,931.1411275891702,scale,1,0.002357676522424912,6,18,24
0,50,knn,2,23,6.818181818181818,140.0,931.1411275891702,scale+thin,1,0.002357676522424912,6,55,61
0,50,knn,3,23,6.818181818181818,140.0,931.1411275891702,none,1,0.004103557050087359,11,0,11
0,50,knn,3,23,6.818181818181818,140.0,931.1411275891702,scale,1,0.002357676522424912,11,18,29
0,50,knn,3,23,6.818181818181818,140.0,931.1411275891702,scale+thin,1,0.002357676522424912,11,55,66
0,50,knn,1,25,7.636363636363637,30.909090909090907,501.774525145321,none,1,-0.002806983959187548,3,0,3
