costing,space,proposals,span_m,load_kNm,reference,achieved,gap
original,raw,40,10.90909090909091,20.0,893.7291943214849,2116.5617007292,1.3682360542514043
original,raw,40,10.90909090909091,30.909090909090907,1088.9504710209037,2214.9557247560447,1.0340279780397155
original,raw,40,10.90909090909091,41.81818181818181,1270.814818254924,2737.970511605389,1.154499988727827
original,raw,40,10.90909090909091,52.72727272727273,1441.605296538102,2837.1717977901626,0.9680642160537285
original,raw,40,10.90909090909091,63.63636363636363,1646.7666813117896,2524.989400320103,0.5333012435670208
original,raw,40,10.90909090909091,74.54545454545453,1797.093634182035,3332.7874937627716,0.8545430412587951
original,raw,40,10.90909090909091,85.45454545454545,2002.4625944633783,3615.970007817072,0.8057615746805413
original,raw,40,10.90909090909091,96.36363636363636,2197.559639317925,2983.87158422256,0.3578114244711419
original,raw,40,10.90909090909091,107.27272727272728,2388.297343467485,,
original,raw,40,10.90909090909091,118.18181818181816,2601.5036778796957,3732.3650728378043,0.4346952897179046
original,raw,40,10.90909090909091,129.0909090909091,2728.4009592725315,3892.044208590368,0.4264927577316555
original,raw,40,10.90909090909091,140.0,2907.631199570768,,
original,raw,40,11.727272727272728,20.0,1061.0441516058863,2356.55345534856,1.2209758677637734
original,raw,40,11.727272727272728,30.909090909090907,1290.0501267580532,2192.766676071302,0.6997530798138913
original,raw,40,11.727272727272728,41.81818181818181,1482.922585855888,3024.506622558787,1.0395579994576414
original,raw,40,11.727272727272728,52.72727272727273,1747.8813489218207,2936.8761312018937,0.6802491387722076
original,raw,40,11.727272727272728,63.63636363636363,1979.0906999138213,3309.4004314919243,0.6721822964637401
original,raw,40,11.727272727272728,74.54545454545453,2216.73184965606,3719.638416973623,0.6779830260257902
original,raw,40,11.727272727272728,85.45454545454545,2462.677694524864,,
original,raw,40,11.727272727272728,96.36363636363636,2703.5807115927173,4350.488959090437,0.6091581584510946
original,raw,40,11.727272727272728,107.27272727272728,2937.489157347384,6256.860233399294,1.130002835159185
original,raw,40,11.727272727272728,118.18181818181816,3160.0494447625265,,
original,raw,40,11.727272727272728,129.0909090909091,3358.1079283394,5483.939830823168,0.6330445440849788
original,raw,40,11.727272727272728,140.0,3576.995517433856,4418.258812355568,0.23518712584947155
original,raw,40,12.545454545454549,20.0,1212.3908752045115,1832.8349624587017,0.5117525213554011
original,raw,40,12.545454545454549,30.909090909090907,1481.0813508506612,2451.071878127753,0.6549204921930696
original,raw,40,12.545454545454549,41.81818181818181,1783.0201996892802,3091.4305348336898,0.7338168885424972
original,raw,40,12.545454545454549,52.72727272727273,2087.7440020066583,3511.0028220590266,0.6817209479152555
original,raw,40,12.545454545454549,63.63636363636363,2393.181985113689,3098.208346417553,0.29459788920748187
original,raw,40,12.545454545454549,74.54545454545453,2689.930765449427,5850.323910227682,1.1748975792877796
original,raw,40,12.545454545454549,85.45454545454545,2997.3064139092285,4128.2292826110615,0.37731306464153924
original,raw,40,12.545454545454549,96.36363636363636,3286.35898355342,,
original,raw,40,12.545454545454549,107.27272727272728,3571.295426634208,6792.821467034716,0.9020609206325609
original,raw,40,12.545454545454549,118.18181818181816,3837.483424001443,,
original,raw,40,12.545454545454549,129.0909090909091,4106.19381133988,,
original,raw,40,12.545454545454549,140.0,4431.563898254406,,
original,raw,40,13.363636363636363,20.0,1408.076363691634,1652.7970723478754,0.17379789545976276
original,raw,40,13.363636363636363,30.909090909090907,1720.040315347003,2965.5741453450437,0.7241306025706529
original,raw,40,13.363636363636363,41.81818181818181,2138.6377928116376,4799.197449180107,1.2440440664198062
