reference,model,N,topk,mode,amortiser_gap,reference_gap,diff,ci95_lo,ci95_hi,amortiser_win_rate,amortiser_evals,reference_evals,region
PPO OOD (ppo_ood_load),poly3,208,3,scale+thin,0.10227561560658699,0.12364167543728745,-0.021366059830700456,-0.07840157399910216,0.02826605944903596,0.25,85.81560283687944,113.83829787234042,load_extrapolation
DE reparam G=40 + repair (OOD),gp,208,1,none,0.021225799761334548,0.3092779048788402,-0.28805210511750573,-0.33321165730541485,-0.25043211301758644,1.0,6.539007092198582,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),gp,208,1,scale,0.02850389758738513,0.3526557621036902,-0.3241518645163051,-0.38008699907035837,-0.2761826451071426,1.0,23.45390070921986,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),gp,208,1,scale+thin,0.025086153562170293,0.23364169068890658,-0.20855553712673633,-0.25959357100215985,-0.16401041545892883,1.0,68.94326241134752,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),gp,208,2,none,0.01735751702160851,0.3092779048788402,-0.2919203878572318,-0.3364544805396323,-0.2531206263448036,1.0,12.872340425531915,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),gp,208,2,scale,0.019388426564199222,0.3362660092684992,-0.3168775827043,-0.37654938853468084,-0.26232145202004326,0.9523809523809523,29.829787234042552,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),gp,208,2,scale+thin,0.015754761875767926,0.22269390818948642,-0.2069391463137185,-0.2596578652644672,-0.1590656986276843,0.9523809523809523,76.94326241134752,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),gp,208,3,none,0.04091353911019761,0.326209462114579,-0.2852959230043815,-0.32485421854924695,-0.2529272126382804,1.0,18.29078014184397,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),gp,208,3,scale,0.055336029633759366,0.33638246720753695,-0.28104643757377756,-0.3259165607548444,-0.23844447395761414,0.9545454545454546,35.652482269503544,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),gp,208,3,scale+thin,0.05298722560958387,0.22461280490384336,-0.17162557929425948,-0.21029122962783164,-0.1345551950348483,0.9545454545454546,84.34751773049645,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),knn,208,1,none,0.006647541003061657,0.31871783889606803,-0.3120702978930064,-0.3605292562595013,-0.27093822609526164,1.0,6.553191489361702,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),knn,208,1,scale,0.018307327104312505,0.3526557621036902,-0.3343484349993777,-0.39083122423583805,-0.2837789801014575,1.0,23.50354609929078,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),knn,208,1,scale+thin,0.016061499820587005,0.23364169068890658,-0.21758019086831962,-0.2692207183175147,-0.17315365149446804,1.0,68.41843971631205,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),knn,208,2,none,0.002516316032574135,0.31871783889606803,-0.3162015228634939,-0.3641388709795589,-0.2760478940501238,1.0,12.836879432624114,40.0,load_extrapolation
DE reparam G=40 + repair (OOD),knn,208,2,scale,0.007793494243591088,0.3362660092684992,-0.32847251502490815,-0.390456862400902,-0.2722778355813155,0.9523809523809523,29.822695035460992,57.782978723404256,load_extrapolation
DE reparam G=40 + repair (OOD),knn,208,2,scale+thin,0.006216213197959861,0.22269390818948642,-0.21647769499152658,-0.26884247622540625,-0.16840808393585346,0.9523809523809523,74.73758865248227,111.53191489361703,load_extrapolation
DE reparam G=40 + repair (OOD),knn,208,3,none,0.03562079087542296,0.33403251827221137,-0.29841172739678845,-0.3379575889720332,-0.26662916581800505,1.0,18.070921985815602,40.0,load_extrapolation
